Feature;MAE_increase_days;sd
vital24_220051_last;-0.00024407632847154304;0.0006874396275169694
lab24_51248_max;-0.00025738602322125106;0.00021961129215864917
lab24_51248_last;-0.00026317501288861676;0.00018480123652437727
lab24_50931_last;-0.00026418546682789313;0.00027780490922358345
lab24_50912_min;-0.0002674233542371951;0.0003546909469878195
lab24_50882_cnt;-0.0002699223023341801;0.00026689110816240417
lab24_51221_last;-0.00027095943860651063;0.0001851199581397792
lab24_50882_mean;-0.0002723028290357199;0.0006977225683004752
lab24_50970_max;-0.0003254743862681764;0.0003385958410370867
lab24_51250_first;-0.00033524289304223134;0.00022109852634868748
lab24_50882_max;-0.000360564360477067;0.00028917694157192913
vital24_220045_max;-0.00036092590898038066;0.00026838233266902455
lab24_50868_first;-0.0003658881993028551;0.0006986336569451812
lab24_50931_mean;-0.0003743163212845957;0.0007971062966157305
vital24_220180_first;-0.00038649480830281745;0.0004512274229412426
lab24_50802_max;-0.00040325501459603785;0.00026902351855010153
lab24_51250_last;-0.00043212739529421287;0.0002584642351653958
lab24_50804_cnt;-0.0004932236342341412;0.0002065337041146117
lab24_51248_first;-0.0005598228020313734;0.00029722704063234667
lab24_51275_cnt;-0.0005743221620805094;7.350559472076644e-05
vital24_220179_max;-0.0005923581336953809;0.001021743168867063
lab24_50893_cnt;-0.0006469088410092638;0.00022085634628046967
lab24_51250_mean;-0.00082892572442681;0.0002547780705443023
lab24_51301_max;-0.0008764424344166244;0.00022113408415890245
vital24_220179_first;-0.0012885404505021292;0.001325642800739777
